Date,Adj Close,Simple Stock Returns,Log returns
01-09-2020,463.009583,,
02-09-2020,468.443268,0.011735578,0.01166725
03-09-2020,468.592834,0.000319283,0.000319232
04-09-2020,462.760315,-0.01244688,-0.012524992
07-09-2020,463.80719,0.00226224,0.002259685
08-09-2020,451.94281,-0.025580414,-0.025913282
09-09-2020,446.708527,-0.011581738,-0.011649328
10-09-2020,453.03952,0.014172537,0.014073045
11-09-2020,457.625763,0.010123274,0.010072376
14-09-2020,478.662598,0.045969516,0.044944222
15-09-2020,493.169006,0.030306124,0.029855966
16-09-2020,482.899872,-0.020822748,-0.021042599
17-09-2020,472.032501,-0.022504398,-0.022761487
18-09-2020,462.411377,-0.020382334,-0.02059292
21-09-2020,443.418427,-0.041073708,-0.041941067
22-09-2020,440.726501,-0.006070848,-0.006089351
23-09-2020,431.055542,-0.021943221,-0.022187554
24-09-2020,419.889069,-0.025904952,-0.026246395
25-09-2020,421.334747,0.003443,0.003437086
28-09-2020,421.982788,0.001538067,0.001536885
29-09-2020,424.126343,0.005079721,0.005066863
30-09-2020,424.774384,0.001527943,0.001526777
01-10-2020,427.56604,0.006572091,0.006550589
05-10-2020,417.595978,-0.02331818,-0.023594351
06-10-2020,419.340729,0.004178084,0.00416938
07-10-2020,416.598969,-0.006538263,-0.006559731
08-10-2020,415.252991,-0.003230872,-0.003236103
09-10-2020,408.921997,-0.015246113,-0.01536353
12-10-2020,412.610931,0.009021119,0.008980672
13-10-2020,406.728607,-0.014256346,-0.014358944
14-10-2020,394.315887,-0.030518434,-0.030993818
15-10-2020,384.146393,-0.025790221,-0.02612862
16-10-2020,382.401642,-0.004541891,-0.004552237
19-10-2020,376.967987,-0.014209288,-0.014311206
20-10-2020,377.566193,0.001586888,0.00158563
21-10-2020,382.301971,0.012542908,0.012464897
22-10-2020,391.723663,0.024644634,0.024345854
23-10-2020,386.838318,-0.012471406,-0.012549827
26-10-2020,367.795502,-0.049226809,-0.05047974
27-10-2020,299.899384,-0.184602905,-0.204080051
28-10-2020,247.855698,-0.173537155,-0.190600318
29-10-2020,227.516769,-0.082059558,-0.085622768
30-10-2020,204.785019,-0.099912416,-0.105263204
02-11-2020,201.195816,-0.017526687,-0.017682098
03-11-2020,186.091171,-0.075074349,-0.078041922
04-11-2020,193.518875,0.039914328,0.039138333
05-11-2020,203.189819,0.049974164,0.048765558
06-11-2020,213.309433,0.049803745,0.048603237
09-11-2020,223.927551,0.049778005,0.048578718
10-11-2020,235.094025,0.049866459,0.048662974
11-11-2020,225.672318,-0.040076335,-0.040901514
12-11-2020,236.938477,0.049922645,0.04871649
13-11-2020,248.752991,0.049863214,0.048659883
17-11-2020,274.176636,0.102204379,0.097312156
18-11-2020,287.885468,0.050000001,0.048790165
19-11-2020,302.242371,0.04987019,0.048666528
20-11-2020,317.346985,0.04997517,0.048766517
23-11-2020,333.199402,0.049952947,0.04874535
24-11-2020,316.549408,-0.04997006,-0.051261779
25-11-2020,300.746857,-0.049921278,-0.051210433
26-11-2020,285.741913,-0.049892272,-0.051179903
27-11-2020,273.428894,-0.0430914,-0.044047399
01-12-2020,272.780853,-0.002370053,-0.002372866
02-12-2020,277.167664,0.016081814,0.015953872
03-12-2020,278.513641,0.004856183,0.00484443
04-12-2020,280.607361,0.007517477,0.007489362
07-12-2020,285.692047,0.018120287,0.017958072
08-12-2020,282.451782,-0.01134181,-0.011406619
09-12-2020,281.903442,-0.001941358,-0.001943245
10-12-2020,278.015137,-0.013793038,-0.013889046
11-12-2020,290.926331,0.046440615,0.045394515
14-12-2020,305.4328,0.049863032,0.04865971
15-12-2020,300.746857,-0.015341977,-0.015460883
16-12-2020,302.042969,0.004309644,0.004300384
17-12-2020,300.148651,-0.006271684,-0.006291433
18-12-2020,294.914368,-0.017438969,-0.017592819
21-12-2020,280.208527,-0.049864783,-0.051150971
22-12-2020,275.472748,-0.01690091,-0.01704536
23-12-2020,281.60437,0.022258543,0.022014437
24-12-2020,283.548492,0.006903735,0.006880014
28-12-2020,283.299255,-0.000878993,-0.000879379
29-12-2020,281.355103,-0.006862538,-0.006886194
30-12-2020,283.79776,0.008681758,0.008644289
31-12-2020,287.885468,0.014403595,0.014300849
01-01-2021,290.427826,0.008831144,0.008792377
04-01-2021,290.427826,0,0
05-01-2021,286.938324,-0.01201504,-0.012087804
06-01-2021,287.885468,0.003300863,0.003295427
07-01-2021,290.078918,0.007619176,0.007590297
08-01-2021,286.788757,-0.011342296,-0.011407111
11-01-2021,289.281281,0.00869115,0.008653599
12-01-2021,286.639221,-0.009133187,-0.00917515
13-01-2021,286.838623,0.000695655,0.000695413
14-01-2021,286.788757,-0.000173847,-0.000173862
15-01-2021,280.856598,-0.020684768,-0.020901695
18-01-2021,271.93338,-0.031771438,-0.032287102
19-01-2021,280.208527,0.030430788,0.029976955
20-01-2021,276.070953,-0.014766053,-0.014876157
21-01-2021,275.323212,-0.00270851,-0.002712185
22-01-2021,271.684143,-0.013217444,-0.013305571
25-01-2021,268.74295,-0.010825781,-0.010884806
27-01-2021,265.054047,-0.013726511,-0.01382159
28-01-2021,267.347137,0.008651405,0.008614196
29-01-2021,265.602386,-0.006526163,-0.006547552
01-02-2021,269.839661,0.015953452,0.015827533
02-02-2021,281.305237,0.042490329,0.041612398
03-02-2021,288.683075,0.026227162,0.025889128
04-02-2021,287.735931,-0.003280913,-0.003286307
05-02-2021,289.829651,0.007276533,0.007250187
08-02-2021,293.119751,0.011351841,0.011287892
09-02-2021,286.140717,-0.023809498,-0.024097525
10-02-2021,282.950287,-0.011149864,-0.011212489
11-02-2021,279.261383,-0.013037287,-0.013123018
12-02-2021,278.364075,-0.003213147,-0.003218321
15-02-2021,277.466766,-0.003223509,-0.003228715
16-02-2021,274.276367,-0.01149831,-0.011564927
17-02-2021,274.525604,0.000908708,0.000908295
18-02-2021,273.678162,-0.003086932,-0.003091707
19-02-2021,278.812714,0.018761278,0.018587456
22-02-2021,275.572449,-0.011621654,-0.011689714
23-02-2021,275.721985,0.000542638,0.000542491
24-02-2021,276.170654,0.001627251,0.001625929
25-02-2021,278.314209,0.007761704,0.007731737
26-02-2021,273.57843,-0.017015944,-0.017162379
01-03-2021,275.173645,0.005830924,0.00581399
02-03-2021,287.436829,0.044565256,0.043600776
03-03-2021,286.190552,-0.004335829,-0.004345256
04-03-2021,295.562439,0.032747017,0.032222259
05-03-2021,301.295227,0.019396199,0.019210491
08-03-2021,300.497589,-0.002647364,-0.002650874
09-03-2021,291.574402,-0.029694704,-0.030144519
10-03-2021,287.337128,-0.014532394,-0.014639023
12-03-2021,284.545502,-0.009715507,-0.009763011
15-03-2021,283.398956,-0.004029394,-0.004037534
16-03-2021,282.950287,-0.001583171,-0.001584426
17-03-2021,277.217499,-0.020260761,-0.020468825
18-03-2021,263.209595,-0.050530374,-0.051851739
19-03-2021,267.945374,0.017992425,0.017832477
22-03-2021,269.391022,0.005395309,0.005380806
23-03-2021,277.267365,0.029237585,0.02881832
24-03-2021,269.889526,-0.026609114,-0.026969545
25-03-2021,265.502686,-0.016254206,-0.016387755
26-03-2021,277.3172,0.044498661,0.04353702
30-03-2021,278.912415,0.005752312,0.00573583
31-03-2021,285.44281,0.023413784,0.023143886
01-04-2021,285.044006,-0.001397142,-0.001398118
05-04-2021,276.968262,-0.028331569,-0.028740653
06-04-2021,275.522614,-0.005219544,-0.005233213
07-04-2021,275.22348,-0.001085697,-0.001086287
